model,Data,train_mae,val_mae,train_rmse,val_rmse,train_r2,val_r2
Linear Regression t+1,PM10,3.0236849988230934,3.0810944894591072,8.139903359472955,7.755628584032938,0.9060075429596333,0.9019955981099391
Linear Regression t+3,PM10,8.096367796305278,8.468027552465255,19.465801667847348,18.889793990809842,0.46293962197827765,0.4864964598606811
Linear Regression t+1,PM10 and Weather,3.0641960502971526,3.1220875537318844,8.16438513984751,7.789163864132948,0.9058474848722119,0.9020509766146165
Linear Regression t+3,PM10 and Weather,8.214201784772772,8.624176122505858,19.464058885912728,18.9443358779767,0.46533888957715375,0.48460011625290245
Random Forest t+1,PM10,2.3172292806870525,2.950983777041496,6.4351369033880825,8.65405690404122,0.937883718126552,0.8804541281220466
Random Forest t+3,PM10,5.872779200337538,6.90147964982052,15.4212694738848,16.33421676935576,0.6627092887986563,0.6166439537087953
Random Forest t+1,PM10 and Weather,2.3259808761187726,3.0324900884134927,6.955731156856501,8.967954268203318,0.9198627486970954,0.8742314798497102
Random Forest t+3,PM10 and Weather,5.037476607953485,7.03339978884582,14.414758353812406,16.266730351995932,0.7061079106623197,0.623092922290521
XGBoost t+1,PM10,2.853423620762109,3.3994576319024516,7.552535668169614,10.441340046522308,0.9187532754134174,0.8387658026138066
XGBoost t+3,PM10,6.474648005399989,7.102820952883656,15.751889116550895,16.271647017340193,0.648584800115964,0.6176821572283859
XGBoost t+1,PM10 and Weather,2.2633618484875817,3.2538712551766467,3.778794112892348,8.72632809570119,0.9797261821174199,0.8800631087083751
XGBoost t+3    ,PM10 and Weather,6.690257519853043,7.386330804720364,16.032768508807887,16.465258156894453,0.6367217430527627,0.6135085034377878
